task,dataset,tokenization,n_seeds,n_points_per_class,pool size,recall,map
txt2img,coco,_lemma,1,5,1000,0.56,0.21
txt2img,coco,_lemma,1,10,1000,0.6,0.23
txt2img,coco,_lemma,1,20,1000,0.64,0.28
txt2img,coco,_lemma,1,30,1000,0.72,0.29
txt2img,coco,_lemma,2,5,1000,0.33,0.14
txt2img,coco,_lemma,2,10,1000,0.21,0.08
txt2img,coco,_lemma,2,20,1000,0.38,0.19
txt2img,coco,_lemma,2,30,1000,0.42,0.14
txt2img,coco,_lemma,5,5,1000,0.16,0.03
txt2img,coco,_lemma,5,10,1000,0.2,0.06
txt2img,coco,_lemma,5,20,1000,0.2,0.11
txt2img,coco,_lemma,5,30,1000,0.2,0.08
img2txt,coco,_lemma,1,5,1000,0.44,0.2
img2txt,coco,_lemma,1,10,1000,0.64,0.29
img2txt,coco,_lemma,1,20,1000,0.52,0.25
img2txt,coco,_lemma,1,30,1000,0.52,0.2
img2txt,coco,_lemma,2,5,1000,0.54,0.27
img2txt,coco,_lemma,2,10,1000,0.33,0.15
img2txt,coco,_lemma,2,20,1000,0.42,0.15
img2txt,coco,_lemma,2,30,1000,0.38,0.12
img2txt,coco,_lemma,5,5,1000,0.08,0.01
img2txt,coco,_lemma,5,10,1000,0.16,0.07
img2txt,coco,_lemma,5,20,1000,0.2,0.05
img2txt,coco,_lemma,5,30,1000,0.12,0.06
img2img,coco,_lemma,1,5,1000,0.52,0.24
img2img,coco,_lemma,1,10,1000,0.56,0.31
img2img,coco,_lemma,1,20,1000,0.6,0.34
img2img,coco,_lemma,1,30,1000,0.56,0.27
img2img,coco,_lemma,2,5,1000,0.29,0.13
img2img,coco,_lemma,2,10,1000,0.46,0.14
img2img,coco,_lemma,2,20,1000,0.46,0.2
img2img,coco,_lemma,2,30,1000,0.42,0.26
img2img,coco,_lemma,5,5,1000,0.0,0.0
img2img,coco,_lemma,5,10,1000,0.24,0.08
img2img,coco,_lemma,5,20,1000,0.16,0.12
img2img,coco,_lemma,5,30,1000,0.04,0.0
txt2txt,coco,_lemma,1,5,1000,0.44,0.16
txt2txt,coco,_lemma,1,10,1000,0.68,0.36
txt2txt,coco,_lemma,1,20,1000,0.64,0.31
txt2txt,coco,_lemma,1,30,1000,0.56,0.31
txt2txt,coco,_lemma,2,5,1000,0.33,0.16
txt2txt,coco,_lemma,2,10,1000,0.25,0.04
txt2txt,coco,_lemma,2,20,1000,0.42,0.15
txt2txt,coco,_lemma,2,30,1000,0.38,0.15
txt2txt,coco,_lemma,5,5,1000,0.32,0.07
txt2txt,coco,_lemma,5,10,1000,0.12,0.03
txt2txt,coco,_lemma,5,20,1000,0.2,0.08
txt2txt,coco,_lemma,5,30,1000,0.4,0.21
txt2img,flickr30k,_lemma,1,5,1000,0.36,0.12
txt2img,flickr30k,_lemma,1,10,1000,0.4,0.21
txt2img,flickr30k,_lemma,1,20,1000,0.44,0.17
txt2img,flickr30k,_lemma,1,30,1000,0.44,0.2
txt2img,flickr30k,_lemma,2,5,1000,0.33,0.12
txt2img,flickr30k,_lemma,2,10,1000,0.25,0.14
txt2img,flickr30k,_lemma,2,20,1000,0.25,0.07
txt2img,flickr30k,_lemma,2,30,1000,0.21,0.16
txt2img,flickr30k,_lemma,5,5,1000,0.2,0.11
txt2img,flickr30k,_lemma,5,10,1000,0.2,0.14
txt2img,flickr30k,_lemma,5,20,1000,0.16,0.04
txt2img,flickr30k,_lemma,5,30,1000,0.12,0.01
img2txt,flickr30k,_lemma,1,5,1000,0.16,0.13
img2txt,flickr30k,_lemma,1,10,1000,0.28,0.17
img2txt,flickr30k,_lemma,1,20,1000,0.2,0.12
img2txt,flickr30k,_lemma,1,30,1000,0.32,0.13
img2txt,flickr30k,_lemma,2,5,1000,0.12,0.05
img2txt,flickr30k,_lemma,2,10,1000,0.08,0.06
img2txt,flickr30k,_lemma,2,20,1000,0.12,0.05
img2txt,flickr30k,_lemma,2,30,1000,0.17,0.1
img2txt,flickr30k,_lemma,5,5,1000,0.04,0.02
img2txt,flickr30k,_lemma,5,10,1000,0.04,0.01
img2txt,flickr30k,_lemma,5,20,1000,0.04,0.04
img2txt,flickr30k,_lemma,5,30,1000,0.12,0.04
img2img,flickr30k,_lemma,1,5,1000,0.44,0.21
img2img,flickr30k,_lemma,1,10,1000,0.52,0.23
img2img,flickr30k,_lemma,1,20,1000,0.28,0.09
img2img,flickr30k,_lemma,1,30,1000,0.52,0.25
img2img,flickr30k,_lemma,2,5,1000,0.33,0.1
img2img,flickr30k,_lemma,2,10,1000,0.29,0.09
img2img,flickr30k,_lemma,2,20,1000,0.17,0.03
img2img,flickr30k,_lemma,2,30,1000,0.38,0.12
img2img,flickr30k,_lemma,5,5,1000,0.2,0.03
img2img,flickr30k,_lemma,5,10,1000,0.08,0.03
img2img,flickr30k,_lemma,5,20,1000,0.0,0.0
img2img,flickr30k,_lemma,5,30,1000,0.2,0.07
txt2txt,flickr30k,_lemma,1,5,1000,0.2,0.07
txt2txt,flickr30k,_lemma,1,10,1000,0.48,0.36
txt2txt,flickr30k,_lemma,1,20,1000,0.44,0.28
txt2txt,flickr30k,_lemma,1,30,1000,0.64,0.46
txt2txt,flickr30k,_lemma,2,5,1000,0.29,0.13
txt2txt,flickr30k,_lemma,2,10,1000,0.17,0.06
txt2txt,flickr30k,_lemma,2,20,1000,0.12,0.06
txt2txt,flickr30k,_lemma,2,30,1000,0.08,0.05
txt2txt,flickr30k,_lemma,5,5,1000,0.12,0.06
txt2txt,flickr30k,_lemma,5,10,1000,0.08,0.02
txt2txt,flickr30k,_lemma,5,20,1000,0.12,0.04
txt2txt,flickr30k,_lemma,5,30,1000,0.04,0.01
